Data Platform,Physician ID,First Name,Last Name,Gender,Age,Specialty,Years of Experience,Medical School,Board Certification,Referrals per Year
Osan3Alpha,38,Violet,Reynolds,F,29,Sports Medicine,3,Medical College of Wisconsin,American Board of Family Medicine,35
Osan3Alpha,39,Lincoln,Carter,M,44,Pain Medicine,13,Georgetown University School of Medicine,American Board of Anesthesiology,159
Osan3Alpha,40,Layla,Ross,F,40,Occupational Medicine,10,University of North Carolina at Chapel Hill School of Medicine,American Board of Preventive Medicine,40
Osan3Alpha,41,Isaiah,Nguyen,M,39,Radiation Oncology,11,Stanford University School of Medicine,American Board of Radiology,671
Osan3Alpha,42,Sophia,Lopez,F,31,Reproductive Endocrinology and Infertility,7,Yale School of Medicine,American Board of Obstetrics and Gynecology,43
Osan3Alpha,43,Ethan,Kim,M,43,Neonatology,15,Johns Hopkins University School of Medicine,American Board of Pediatrics,59
Osan3Alpha,44,Amelia,Chen,F,38,Hematology,9,University of Michigan Medical School,American Board of Internal Medicine,57
Osan3Alpha,45,Nathan,Turner,M,52,Pulmonology,22,Mayo Clinic School of Medicine,American Board of Internal Medicine,70
Osan3Alpha,46,Grace,Ward,F,37,Gastroenterology,10,Washington University School of Medicine in St. Louis,American Board of Internal Medicine,44
Osan3Alpha,47,Jameson,Wong,M,41,Plastic Surgery,12,University of Texas Southwestern Medical Center,American Board of Plastic Surgery,84
Osan3Alpha,48,Ava,Kaur,F,33,Endocrinology,8,Massachusetts General Hospital,American Board of Internal Medicine,39
Osan3Alpha,49,Aiden,Singh,M,45,Urology,18,Perelman School of Medicine at the University of Pennsylvania,American Board of Urology,33
Osan3Alpha,50,Samantha,Sharma,F,35,Infectious Disease,6,Emory University School of Medicine,American Board of Internal Medicine,80
Osan3Alpha,51,Noah,Feng,M,46,Interventional Cardiology,19,Cleveland Clinic Lerner College of Medicine,American Board of Internal Medicine,40
Osan3Alpha,52,Lucy,Chung,F,42,Ophthalmology,14,University of California San Francisco School of Medicine,American Board of Ophthalmology,32
Osan3Alpha,53,William,Tran,M,37,Neurosurgery,10,Stanford University School of Medicine,American Board of Neurological Surgery,31
Osan3Alpha,54,Aria,Kim,F,34,Allergy and Immunology,7,Johns Hopkins University School of Medicine,American Board of Allergy and Immunology,42
Osan3Alpha,55,Elijah,Liu,M,40,Cardiac Electrophysiology,11,Harvard Medical School,American Board of Internal Medicine,139
Osan3Alpha,56,Mia,Park,F,36,Rheumatology,9,University of Chicago Pritzker School of Medicine,American Board of Internal Medicine,34
Osan3Alpha,57,Henry,Gupta,M,48,Interventional Radiology,16,Mount Sinai School of Medicine,American Board of Radiology,49
Osan3Alpha,58,Charlotte,Lim,F,32,Developmental-Behavioral Pediatrics,8,Baylor College of Medicine,American Board of Pediatrics,42
Osan3Alpha,59,Logan,Kumar,M,44,Vascular and Interventional Radiology,14,New York University School of Medicine,American Board of Radiology,58
Osan3Alpha,60,Sophie,Chen,F,39,Neuropsychiatry,12,Columbia University Vagelos College of Physicians and Surgeons,American Board of Psychiatry and Neurology,42
Osan3Alpha,61,Olivia,Martin,F,35,Neonatal-Perinatal Medicine,9,University of Texas Health Science Center at Houston McGovern Medical School,American Board of Pediatrics,75
Osan3Alpha,62,Max,Liu,M,41,Surgical Oncology,15,Memorial Sloan Kettering Cancer Center,American Board of Surgery,91
Osan3Alpha,63,Eva,Gomez,F,38,Female Pelvic Medicine and Reconstructive Surgery,11,University of Miami Miller School of Medicine,American Board of Obstetrics and Gynecology,39
Osan3Alpha,64,Liam,Wu,M,37,Interventional Pain Medicine,10,University of Washington School of Medicine,American Board of Anesthesiology,76
Osan3Alpha,65,Harper,Kim,F,33,Adolescent Medicine,7,University of California Los Angeles David Geffen School of Medicine,American Board of Pediatrics,57
Osan3Alpha,66,Dylan,Patel,M,46,Sleep Medicine,18,Stanford University School of Medicine,American Board of Psychiatry and Neurology,96
Osan3Alpha,67,Emily,Wong,F,40,Medical Genetics and Genomics,14,University of Pennsylvania Perelman School of Medicine,American Board of Medical Genetics and Genomics,43
Osan3Alpha,68,Caleb,Choi,M,42,Foot and Ankle Surgery,16,New York College of Podiatric Medicine,American Board of Foot and Ankle Surgery,30
Osan3Alpha,69,Avery,Rodriguez,F,39,Neurocritical Care,12,University of Florida College of Medicine,American Board of Psychiatry and Neurology,167
Osan3Alpha,70,Isabella,Lee,F,34,Obstetrics and Gynecology,9,Harvard Medical School,American Board of Obstetrics and Gynecology,48
Osan3Alpha,71,Lucas,Nguyen,M,45,Gastroenterology,17,Johns Hopkins University School of Medicine,American Board of Internal Medicine,187
Osan3Alpha,72,Zoe,Mendoza,F,37,Hematology/Oncology,10,Mayo Clinic School of Medicine,American Board of Internal Medicine,250
Osan3Alpha,73,Ethan,Kaur,M,41,Plastic Surgery,14,University of Texas Southwestern Medical School,American Board of Plastic Surgery,36
Osan3Alpha,74,Amelia,Yang,F,36,Reproductive Endocrinology and Infertility,11,Stanford University School of Medicine,American Board of Obstetrics and Gynecology,39
Osan3Alpha,75,Lucas,Gupta,M,43,Thoracic Surgery,15,University of Michigan Medical School,American Board of Thoracic Surgery,217
Osan3Alpha,76,Sofia,Kim,F,39,Pediatric Hematology/Oncology,12,Cincinnati Children's Hospital Medical Center,American Board of Pediatrics,103
Osan3Alpha,77,Aiden,Chen,M,37,Interventional Radiology,9,Washington University School of Medicine in St. Louis,American Board of Radiology,142
Osan3Alpha,78,Ella,Li,F,33,Pediatric Nephrology,7,Children's Hospital of Philadelphia,American Board of Pediatrics,40
Osan3Alpha,79,Jack,Zhang,M,38,Endocrinology,10,University of Alabama School of Medicine,American Board of Internal Medicine,38
Osan3Alpha,80,Ava,Patel,F,35,Pediatric Cardiology,8,Emory University School of Medicine,American Board of Pediatrics,979
Osan3Alpha,81,Oliver,Hernandez,M,46,Neurology,16,Massachusetts General Hospital,American Board of Psychiatry and Neurology,231
Osan3Alpha,82,Sophia,Kim,F,40,Pediatric Gastroenterology,13,University of California San Francisco School of Medicine,American Board of Pediatrics,75
Osan3Alpha,83,William,Choi,M,42,Hand Surgery,15,Harvard Medical School,American Board of Plastic Surgery,37
Osan3Alpha,84,Isabella,Wong,F,37,Pediatric Rheumatology,12,Children's National Medical Center,American Board of Pediatrics,31
Osan3Alpha,85,Ethan,Lin,M,44,Infectious Disease,16,Stanford University School of Medicine,American Board of Internal Medicine,42
Osan3Alpha,86,Amelia,Tran,F,38,Pediatric Otolaryngology,10,Boston Children's Hospital,American Board of Otolaryngology,37
Osan3Alpha,87,Lucas,Kumar,M,43,Cardiothoracic Surgery,14,Johns Hopkins University School of Medicine,American Board of Thoracic Surgery,62
Osan3Alpha,88,Sofia,Chen,F,39,Pediatric Dermatology,11,Children's Hospital of Philadelphia,American Board of Dermatology,33
Osan3Alpha,89,Jameson,Lee,M,45,Colorectal Surgery,15,Mayo Clinic School of Medicine,American Board of Surgery,43
Osan3Alpha,90,Emma,Kim,F,36,Developmental-Behavioral Pediatrics,9,University of Colorado School of Medicine,American Board of Pediatrics,411
Osan3Alpha,91,Liam,Nguyen,M,47,Neonatology,17,University of Pennsylvania School of Medicine,American Board of Pediatrics,78
Osan3Alpha,92,Aria,Singh,F,41,Neurotology,12,Johns Hopkins University School of Medicine,American Board of Otolaryngology,228
Osan3Alpha,93,Oliver,Lin,M,46,Obstetrics and Gynecology,16,Harvard Medical School,American Board of Obstetrics and Gynecology,36
Osan3Alpha,94,Sophia,Sharma,F,38,Pediatric Cardiac Surgery,10,Stanford University School of Medicine,American Board of Thoracic Surgery,34
Osan3Alpha,95,William,Chung,M,43,Pediatric Pulmonology,14,Cincinnati Children's Hospital Medical Center,American Board of Pediatrics,93
Osan3Alpha,96,Isabella,Gomez,F,39,Neuropsychiatry,11,Yale School of Medicine,American Board of Psychiatry and Neurology,78
Osan3Alpha,97,Ethan,Kim,M,44,Radiation Oncology,15,University of California Los Angeles David Geffen School of Medicine,American Board of Radiology,767
Osan3Alpha,98,Amelia,Li,F,40,Female Pelvic Medicine and Reconstructive Surgery,12,Mayo Clinic School of Medicine,American Board of Obstetrics and Gynecology,43
Osan3Alpha,99,Lucas,Patel,M,45,Pediatric Urology,14,Children's Hospital of Philadelphia,American Board of Urology,40
Osan3Alpha,100,Sofia,Wu,F,37,Allergy and Immunology,9,Mount Sinai School of Medicine,American Board of Allergy and Immunology,76
Osan3Alpha,101,Oliver,Liu,M,48,Sleep Medicine,18,Stanford University School of Medicine,American Board of Psychiatry and Neurology,71
Osan3Alpha,102,Liam,Khan,M,42,Reproductive Endocrinology and Infertility,13,Harvard Medical School,American Board of Obstetrics and Gynecology,51
Osan3Alpha,103,Sophia,Kaur,F,39,Interventional Radiology,12,Johns Hopkins University School of Medicine,American Board of Radiology,71
Osan3Alpha,104,William,Chen,M,46,Pediatric Nephrology,15,University of California San Francisco School of Medicine,American Board of Pediatrics,75
Osan3Alpha,105,Emma,Kumar,F,40,Orthopedic Trauma Surgery,10,Hospital for Special Surgery,American Board of Orthopaedic Surgery,35
Osan3Alpha,106,Jameson,Gonzalez,M,47,Pediatric Neurology,16,Boston Children's Hospital,American Board of Psychiatry and Neurology,126
Osan3Alpha,107,Sofia,Lim,F,38,Pediatric Hematology and Oncology,11,St. Jude Children's Research Hospital,American Board of Pediatrics,39
Osan3Alpha,108,Aria,Hernandez,F,43,Hand Surgery,14,Harvard Medical School,American Board of Plastic Surgery,420
Osan3Alpha,109,Lucas,Tran,M,49,Cardiac Electrophysiology,17,Mayo Clinic School of Medicine,American Board of Internal Medicine,52
Osan3Alpha,110,Ethan,Li,M,41,Neuro-Ophthalmology,12,Emory University School of Medicine,American Board of Ophthalmology,135
Osan3Alpha,111,Isabella,Kim,F,37,Pediatric Dermatology,9,University of Miami Miller School of Medicine,American Board of Dermatology,74
Osan3Alpha,112,Oliver,Singh,M,45,Reconstructive Surgery,14,New York University School of Medicine,American Board of Plastic Surgery,80
Osan3Alpha,113,Emma,Lee,F,39,Pediatric Gastroenterology,11,Children's Hospital of Philadelphia,American Board of Pediatrics,40
Osan3Alpha,114,William,Murphy,M,48,Cardiovascular Surgery,18,Johns Hopkins University School of Medicine,American Board of Thoracic Surgery,50
Osan3Alpha,115,Liam,Gomez,M,42,Pediatric Infectious Diseases,13,Columbia University Vagelos College of Physicians and Surgeons,American Board of Pediatrics,70
Osan3Alpha,116,Sophia,Wang,F,38,Fetal Medicine,10,Mayo Clinic School of Medicine,American Board of Obstetrics and Gynecology,81
Osan3Alpha,117,Jameson,Chow,M,47,Rehabilitation Medicine,15,Stanford University School of Medicine,American Board of Physical Medicine and Rehabilitation,116
Osan3Alpha,118,Aria,Nguyen,F,40,Colon and Rectal Surgery,12,Weill Cornell Medical College,American Board of Colon and Rectal Surgery,42
Osan3Alpha,119,Ethan,Kumar,M,43,Endocrinology,14,Harvard Medical School,American Board of Internal Medicine,45
Osan3Alpha,120,Lucas,Patel,M,49,Mohs Surgery,17,University of Pennsylvania Perelman School of Medicine,American Board of Dermatology,38
Osan3Alpha,121,Isabella,Lopez,F,37,Neonatal-Perinatal Medicine,9,University of California Los Angeles David Geffen School of Medicine,American Board of Pediatrics,117
Osan3Alpha,122,Oliver,Garcia,M,45,Surgical Oncology,14,Memorial Sloan Kettering Cancer Center,American Board of Surgery,31
Osan3Alpha,123,Liam,Chen,M,41,Obstetric Anesthesiology,12,Stanford University School of Medicine,American Board of Anesthesiology,221
Osan3Alpha,124,Sophia,Kaur,F,38,Neurocritical Care,11,Johns Hopkins University School of Medicine,American Board of Psychiatry and Neurology,48
Osan3Alpha,125,William,Wu,M,46,Pediatric Cardiology,15,Children's Hospital of Philadelphia,American Board of Pediatrics,56
Osan3Alpha,126,Emma,Sharma,F,39,Medical Genetics,10,University of California San Francisco School of Medicine,American Board of Medical Genetics and Genomics,137
Osan3Alpha,127,Jameson,Nguyen,M,47,Plastic Surgery,16,Harvard Medical School,American Board of Plastic Surgery,87
Osan3Alpha,128,Aria,Chow,F,40,Rheumatology,13,Mayo Clinic School of Medicine,American Board of Internal Medicine,40
Osan3Alpha,129,Ethan,Liu,M,43,Vascular Neurology,14,Emory University School of Medicine,American Board of Psychiatry and Neurology,47
Osan3Alpha,130,Lucas,Gomez,M,49,Sleep Medicine,17,Stanford University School of Medicine,American Board of Psychiatry and Neurology,45
Osan3Alpha,131,Isabella,Kim,F,37,Allergy and Immunology,9,University of Texas Southwestern Medical Center,American Board of Allergy and Immunology,31
Osan3Alpha,132,Oliver,Singh,M,45,Hepatology,14,Johns Hopkins University School of Medicine,American Board of Internal Medicine,257
Osan3Alpha,133,Liam,Chen,M,41,Female Pelvic Medicine and Reconstructive Surgery,12,Mayo Clinic School of Medicine,American Board of Obstetrics and Gynecology,281
Osan3Alpha,134,Sophia,Garcia,F,38,Neuropsychiatry,11,Columbia University Vagelos College of Physicians and Surgeons,American Board of Psychiatry and Neurology,134
Osan3Alpha,135,William,Murphy,M,46,Cardiothoracic Anesthesiology,15,Stanford University School of Medicine,American Board of Anesthesiology,46
Osan3Alpha,136,Emma,Patel,F,39,Maternal-Fetal Medicine,10,University of California San Francisco School of Medicine,American Board of Obstetrics and Gynecology,33
Osan3Alpha,137,Jameson,Wu,M,47,Interventional Radiology,16,University of Pennsylvania Perelman School of Medicine,American Board of Radiology,54
Osan3Alpha,138,Aria,Nguyen,F,40,Integrative Medicine,13,University of Arizona College of Medicine,American Board of Integrative Medicine,695
Osan3Alpha,139,Ethan,Kumar,M,43,Obesity Medicine,14,Harvard Medical School,American Board of Obesity Medicine,53
Osan3Alpha,140,Lucas,Lopez,M,49,Neurotology,17,Massachusetts Eye and Ear Infirmary,American Board of Otolaryngology - Head and Neck Surgery,202
Osan3Alpha,141,Isabella,Chow,F,37,Reproductive Endocrinology and Infertility,9,University of California Los Angeles David Geffen School of Medicine,American Board of Obstetrics and Gynecology,498
Osan3Alpha,142,Oliver,Gomez,M,45,Pediatric Gastroenterology,14,Children's Hospital of Philadelphia,American Board of Pediatrics,30
Osan3Alpha,143,Liam,Singh,M,41,Sleep Medicine,12,Stanford University School of Medicine,American Board of Psychiatry and Neurology,53
Osan3Alpha,144,Sophia,Chen,F,38,Pediatric Hematology and Oncology,11,St. Jude Children's Research Hospital,American Board of Pediatrics,642
Osan3Alpha,145,William,Kim,M,46,Hand Surgery,15,Washington University School of Medicine in St. Louis,American Board of Plastic Surgery,36
Osan3Alpha,146,Emma,Lee,F,39,Infectious Disease,10,Harvard Medical School,American Board of Internal Medicine,177
Osan3Alpha,147,Jameson,Sharma,M,47,Child Abuse Pediatrics,16,University of Utah School of Medicine,American Board of Pediatrics,46
Osan3Alpha,148,Aria,Patel,F,40,Pediatric Nephrology,13,Stanford University School of Medicine,American Board of Pediatrics,175
Osan3Alpha,149,Ethan,Nguyen,M,43,Psychosomatic Medicine,14,Harvard Medical School,American Board of Psychiatry and Neurology,59
Osan3Alpha,150,Lucas,Wu,M,49,Neuro-Ophthalmology,17,Johns Hopkins University School of Medicine Wilmer Eye Institute,American Board of Ophthalmology,93
Osan3Alpha,151,Isabel,Rodriguez,F,36,Reconstructive Surgery,8,University of Miami Leonard M. Miller School of Medicine,American Board of Plastic Surgery,152
Osan3Alpha,152,Noah,Chung,M,42,Head and Neck Surgery,11,Harvard Medical School Massachusetts Eye and Ear,American Board of Otolaryngology,39
Osan3Alpha,153,Ava,Kaur,F,38,Sports Medicine,9,University of Pittsburgh School of Medicine,American Board of Family Medicine,38
Osan3Alpha,154,Liam,Huynh,M,45,Pediatric Cardiology,15,Harvard Medical School Boston Children's Hospital,American Board of Pediatrics,180
Osan3Alpha,155,Olivia,Kumar,F,39,Reproductive Endocrinology and Infertility,10,Weill Cornell Medical College,American Board of Obstetrics and Gynecology,31
Osan3Alpha,156,William,Lopez,M,46,Interventional Radiology,16,Stanford University School of Medicine,American Board of Radiology,72
Osan3Alpha,157,Emma,Park,F,37,Neonatal-Perinatal Medicine,9,University of Pennsylvania School of Medicine Children's Hospital of Philadelphia,American Board of Pediatrics,75
Osan3Alpha,158,James,Ng,M,44,Transplant Surgery,12,Johns Hopkins University School of Medicine,American Board of Surgery,457
Osan3Alpha,159,Ava,Shin,F,38,Developmental-Behavioral Pediatrics,9,University of California San Francisco School of Medicine,American Board of Pediatrics,43
Osan3Alpha,160,Lucas,Gupta,M,43,Cardiothoracic Surgery,14,Mayo Clinic College of Medicine and Science,American Board of Thoracic Surgery,233
Osan3Alpha,161,Sophia,Lim,F,35,Medical Genetics and Genomics,8,University of Washington School of Medicine,American Board of Medical Genetics and Genomics,46
Osan3Alpha,162,Ethan,Chen,M,42,Hand Surgery,11,Washington University School of Medicine in St. Louis,American Board of Plastic Surgery,238
Osan3Alpha,163,Olivia,Kim,F,37,Sleep Medicine,9,Stanford University School of Medicine,American Board of Internal Medicine,35
Osan3Alpha,164,Noah,Martinez,M,46,Neurotology,15,Harvard Medical School Massachusetts Eye and Ear,American Board of Otolaryngology,348
Osan3Alpha,165,Isabella,Tran,F,39,Hospice and Palliative Medicine,10,Johns Hopkins University School of Medicine,American Board of Family Medicine,181
Osan3Alpha,166,Alexander,Lin,M,44,Female Pelvic Medicine and Reconstructive Surgery,12,University of California Los Angeles David Geffen School of Medicine,American Board of Obstetrics and Gynecology,34
Osan3Alpha,167,Mia,Lee,F,36,Gynecologic Oncology,8,Mayo Clinic College of Medicine and Science,American Board of Obstetrics and Gynecology,30
Osan3Alpha,168,Samuel,Hernandez,M,43,Neurotology,13,Harvard Medical School Massachusetts Eye and Ear,American Board of Otolaryngology,43
Osan3Alpha,169,Sophia,Gonzalez,F,37,Infectious Disease,9,Emory University School of Medicine,American Board of Internal Medicine,69
Osan3Alpha,170,Aiden,Tan,M,42,Reproductive Endocrinology and Infertility,11,Weill Cornell Medical College,American Board of Obstetrics and Gynecology,31
Osan3Alpha,171,Grace,Kim,F,38,Pediatric Cardiology,10,Perelman School of Medicine at the University of Pennsylvania Children's Hospital of Philadelphia,American Board of Pediatrics,30
Osan3Alpha,172,Liam,Yang,M,46,Neuroradiology,14,University of California San Francisco School of Medicine,American Board of Radiology,120
Osan3Alpha,173,Sophia,Nguyen,F,37,Neurology,9,Johns Hopkins University School of Medicine,American Board of Psychiatry and Neurology,344
Osan3Alpha,174,Oliver,Park,M,42,Orthopedic Sports Medicine,11,Weill Cornell Medical College Hospital for Special Surgery,American Board of Orthopaedic Surgery,42
Osan3Alpha,175,Ava,Lim,F,39,Cardiothoracic Surgery,10,Stanford University School of Medicine,American Board of Thoracic Surgery,89
Osan3Alpha,176,Noah,Choi,M,43,Vascular Neurology,12,University of Miami Miller School of Medicine,American Board of Psychiatry and Neurology,37
Osan3Alpha,177,Emma,Patel,F,37,Hematology,9,Harvard Medical School,American Board of Internal Medicine,279
Osan3Alpha,178,William,Gupta,M,45,Gastroenterology,14,University of Chicago Pritzker School of Medicine,American Board of Internal Medicine,93
Osan3Alpha,179,Sophia,Martin,F,38,Endocrinology,10,University of California San Francisco School of Medicine,American Board of Internal Medicine,35
Osan3Alpha,180,James,Lee,M,44,Cardiovascular Disease,13,Johns Hopkins University School of Medicine,American Board of Internal Medicine,44
Osan3Alpha,181,Mia,Tran,F,36,Reproductive Endocrinology and Infertility,9,Emory University School of Medicine,American Board of Obstetrics and Gynecology,42
Osan3Alpha,182,Lucas,Kumar,M,47,Geriatric Psychiatry,15,Yale School of Medicine,American Board of Psychiatry and Neurology,243
Osan3Alpha,183,Isabella,Perez,F,38,Hand Surgery,10,Washington University School of Medicine in St. Louis,American Board of Plastic Surgery,108
Osan3Alpha,184,Oliver,Zhang,M,42,Interventional Radiology,12,University of California Los Angeles David Geffen School of Medicine,American Board of Radiology,37
Osan3Alpha,185,Sophia,Chung,F,37,Pediatric Pulmonology,9,University of Washington School of Medicine,American Board of Pediatrics,35
Osan3Alpha,186,James,Hernandez,M,44,Sleep Medicine,11,Mayo Clinic College of Medicine and Science,American Board of Internal Medicine,37
Osan3Alpha,187,Emma,Wu,F,36,Reproductive Medicine,8,Baylor College of Medicine,American Board of Obstetrics and Gynecology,63
Osan3Alpha,188,William,Kim,M,47,Surgical Oncology,14,Memorial Sloan Kettering Cancer Center,American Board of Surgery,85
Osan3Alpha,189,Ava,Li,F,38,Obstetrics and Gynecology,10,University of Texas Southwestern Medical School,American Board of Obstetrics and Gynecology,71
Osan3Alpha,190,Liam,Gomez,M,43,Interventional Cardiology,12,Cleveland Clinic Lerner College of Medicine,American Board of Internal Medicine,88
Osan3Alpha,191,Chloe,Chang,F,37,Medical Genetics,9,Stanford University School of Medicine,American Board of Medical Genetics and Genomics,47
Osan3Alpha,192,Noah,Ahmed,M,44,Reconstructive Surgery,11,University of Michigan Medical School,American Board of Plastic Surgery,32
Osan3Alpha,193,Sophia,Lopez,F,36,Neonatology,8,Perelman School of Medicine at the University of Pennsylvania Children's Hospital of Philadelphia,American Board of Pediatrics,33
Osan3Alpha,194,Oliver,Martinez,M,42,Pediatric Hematology and Oncology,12,Baylor College of Medicine Children's Hospital in Texas,American Board of Pediatrics,38
Osan3Alpha,195,Emma,Ramirez,F,37,Colon and Rectal Surgery,9,University of Minnesota Medical School,American Board of Surgery,260
Osan3Alpha,196,Ava,Kaur,F,38,Pediatric Ophthalmology,10,Emory University School of Medicine,American Board of Ophthalmology,38
Osan3Alpha,197,William,Lin,M,47,Obesity Medicine,14,University of Colorado School of Medicine,American Board of Obesity Medicine,31
Osan3Alpha,198,Mia,Song,F,36,Pediatric Gastroenterology,8,University of Cincinnati College of Medicine Children's Hospital Medical Center,American Board of Pediatrics,205
Osan3Alpha,199,Liam,Wang,M,43,Rheumatology,12,Johns Hopkins University School of Medicine,American Board of Internal Medicine,43
Osan3Alpha,200,Sophia,Ng,M,37,Pediatric Nephrology,9,Harvard Medical School Boston Children's Hospital,American Board of Pediatrics,30
Osan3Alpha,201,Olivia,Yu,F,38,Neurotology,10,University of Miami Miller School of Medicine,American Board of Otolaryngology,172
Osan3Alpha,202,Ethan,Kim,M,47,Pediatric Neurology,14,Perelman School of Medicine at the University of Pennsylvania Children's Hospital of Philadelphia,American Board of Psychiatry and Neurology,114
Osan3Alpha,203,Isabella,Patel,F,36,Reproductive Endocrinology and Infertility,9,Stanford University School of Medicine,American Board of Obstetrics and Gynecology,43
Osan3Alpha,204,Lucas,Chen,M,43,Interventional Radiology,12,Mount Sinai School of Medicine,American Board of Radiology,37
Osan3Alpha,205,Ava,Nguyen,F,38,Pediatric Pulmonology,10,University of California San Francisco School of Medicine,American Board of Pediatrics,35
Osan3Alpha,206,Liam,Choi,M,44,Geriatric Medicine,11,University of Washington School of Medicine,American Board of Internal Medicine,63
Osan3Alpha,207,Olivia,Huang,F,37,Pediatric Cardiology,9,Baylor College of Medicine Children's Hospital in Texas,American Board of Pediatrics,153
Osan3Alpha,208,William,Liu,M,47,Surgical Oncology,14,Johns Hopkins University School of Medicine,American Board of Surgery,141
